Index	NumberPSM	Proteins	MaxPepProb	ReferenceIntensity	PPV193	PPV229	PPV232	PPV423	PPV503	PPV508	PPV516	PPV526	Pool12	PPV242	PPV334	PPV377	PPV554	PPV715	PPV728	PPV661	PPV808	Pool13	PPV519	PPV546	PPV780	PPV842	PPV856	PPV942	PPV890	PPV934	Pool14	PPV875	PPV988	PPV315	PPV414	PPV449	PPV523	PPV632	PPV682	Pool15	
A1BG	333	sp|P04217|A1BG_HUMAN;	1.0	27.995150099556483	0.6854017857337134	0.8482161824884686	0.7798411935327474	-0.19064582093916993	0.9220751954592696	0.3287562338489458	0.11026733421812729	0.2317879622592418	0.011284912006104708	0.18299241986570536	0.02524223055950392	-0.5758579840226279	-1.0003483404104316	-0.20145161974369774	-0.2789055704007817	0.4195647859326712	0.4504040787274821	-0.039547672511540455	-1.009728739297091	1.0881193523863484	-0.4076668601921969	-0.12609908605527487	-0.43984892845147616	-0.16589490089627867	0.2097454197357833	-0.9140785952982213	0.04881897455091533	-0.12040490830461659	0.8623584461694733	0.011754301115870724	0.3910523735447251	-0.1371685307685313	-0.9678522077227285	0.172219722672585	-0.37107268132089644	0.15339220922959385	
A2M	437	sp|P01023|A2MG_HUMAN;	1.0	23.84921538967646	-0.25409428992480443	-1.1265929811107922	-0.9943705033997086	-1.639975444134957	-0.7817394935701385	-1.0329534400926708	-0.6507172230625482	-1.2537118721129552	-1.000588404832809	-1.0197765380631783	-1.3542141128632808	-0.7097367920719968	-0.9255341481542438	-1.8670427946537833	0.2917087046344502	-1.4776904104097817	-1.0516992867250874	-1.0008248311587788	-0.30271500631879	0.20934345404518062	0.22399874948249598	2.9226056535564755	-0.007790906920157603	0.7524515713727538	-0.7532816350323155	-1.3466267556298437	-0.8272936408947871	-0.8531095852884403	-1.1025712915847095	-0.2516734478113909	-1.4075845694723421	0.851563135605919	-0.7849757834230164	3.430040915303178	-0.029182438119374154	-0.2750529449823791	
ABHD14A	3	sp|Q9BUJ0|ABHEA_HUMAN;	0.9961	16.32542986150997	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.19874416993980937	0.29554419666929155	0.06595581471322376	0.013620075510107466	-0.6581396717424424	0.3062009225603006	0.5239196795568546	0.7086666518702227	0.176187442652056	0.5071991330517234	-0.0028854871608476884	0.172704902515044	0.5398282964865881	-0.41063646829312805	-0.0997487528571619	0.4261513302674653	0.5523227563123818	0.034365430782893114	0.578888745715028	-0.5354071868202794	0.5979270954007871	0.7801394641035868	0.5201370265828897	1.08478735855304	-0.1712132238417201	0.9398652782615127	0.41731959362088844	
ABHD14B	6	sp|Q96IU4|ABHEB_HUMAN;	0.9996	17.264187290104147	0.6717895306544719	0.21935025645956419	1.099185827597931	0.07852557300443141	0.5410656962721667	-0.09920126089838277	-0.13967283682120524	-0.26550141390299586	0.16572751576313083	-0.47506987864085204	-0.13801044733639545	-0.5176690006066575	-0.8166499570232557	-0.384435752489936	-0.1729053787515884	0.06797558184490882	-0.22449468991566768	-0.5896595456119123	-1.751591681638959	-0.4128191470897331	-0.20320045497927053	0.21269507806535515	0.08896206842914811	-0.8026008357474717	1.5826907029878625	1.6147399941491205	-0.6549007066999213	-1.0341300210156654	-0.7679718023060005	1.4382844031500968	1.7617194844272666	1.5861699982107451	1.7375807342116936	0.7541768832340345	2.228128359247753	-0.7226560070350985	
ABI3BP	192	sp|Q7Z7G0|TARSH_HUMAN;	1.0	23.899646670300594	-0.32691747758808276	-0.1804060101120344	0.07917216961181861	-0.47672663572985297	-0.6893011982081241	0.17939825034386558	-0.4946939808297097	-0.03119022050374376	0.5853631991127579	0.776670635263379	0.5381449507856106	1.0722795925890471	-0.09278811658327202	0.0486593351895257	-0.32661691175998975	-0.6232531358277855	0.2932117320219243	0.5471727364410253	0.6670755360967933	0.08496043652443852	0.8132711199299796	-1.006330047591356	0.46887921145846523	-0.3982555757890922	-0.6105825691428266	-0.578160092959692	0.6018967057114404	0.41975789271541464	0.6536863280961764	-0.27537320098774654	-0.7589372905231793	-0.44466221136784245	-0.7197843613572985	-1.2913680912747534	-1.3955966972957459	0.5869065743355275	
ACAN	12	sp|P16112|PGCA_HUMAN;	0.9987	19.911345664662715	1.2540325018159146	-1.3038383909347537	-0.0058959631424011505	-0.8696341985541967	0.6336233698570242	1.0597412296562112	-0.6110829001090732	0.26424414456842804	0.09999921546785773	-0.1856287212940666	-0.3172485486290504	-0.9258097089759953	-0.1667021808476643	-0.3416892483519005	-0.17589438980786998	-1.0099122763891897	0.3283183143973343	-0.4660466248412405	0.2495937424242145	-0.14861210617980625	0.9844072389948164	-1.6568816561037947	0.610929057317569	-1.446703611990324	-0.5601384033051633	-1.7038846977720201	0.0740961762618495	0.35578071965883984	-0.6076804130465803	1.1862645011475763	-1.1635550340459524	0.529346346853222	0.4511862466834833	-1.1209232280290449	-1.2643543050292738	-0.34763021573327446	
ACE	10	sp|P12821|ACE_HUMAN;	1.0	17.408329273563105	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.034875915843779026	0.11808808986636476	-0.1662195176050787	-0.6673998067246285	-0.13250731099214352	-0.10061989011388484	-0.20186538205931193	0.19731355746129076	-0.016319225407515958	-0.010446604802972992	-0.18715752042519185	0.2077822319502407	0.4553818212254317	-0.1464258150305051	-0.0254985152875844	0.14814304342888418	-0.28177381732023576	0.11143490393959787	-0.28723276655405483	-0.08974869876665537	0.3497460143046336	0.21482284767229043	0.2355795270251324	0.27569578432616026	0.09617937766546181	0.1723812555290296	-0.02633534960137407	
ACHE	17	sp|P22303|ACES_HUMAN;	0.9997	19.929954105555368	-0.8011399374301025	0.5074207461423699	0.07867673011160026	0.04271421936739461	-0.29077287488316195	0.2365761245536131	0.09162984083400261	-0.7890159400273458	0.9798103683024597	0.40339106204850417	0.460185565116475	0.43958440684756894	-0.18145444631208507	-0.22525280742231413	-0.2884825487315439	-0.6229234628175426	-0.4342107873451706	0.39905447244175285	0.27303168741101747	0.6349589614523143	-0.11526686445667478	-0.6921306194275569	-0.371150007340062	-0.3294910520919285	-0.6068925857782248	-0.6203236609284648	0.13349585855853796	-0.1133142695107261	-0.17415820075420818	-0.17651181426473794	-0.3159403295105907	-0.3117618169638545	-0.5547019350800539	-1.172909024156625	-0.3839281348863004	0.4140284478203107	
ACLY	8	sp|P53396|ACLY_HUMAN;	0.9999	17.070242809681815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.427993599606183	-1.0249937894524415	-0.8288435846796047	0.09178667865341161	-0.7814793946980592	-0.5650343700562286	1.042273070098458	1.5611558203133686	-1.3541562642194798	-0.7507100121199186	-0.0561666159164691	1.3832195108216956	1.4037022959006054	1.211887555694422	1.3880389127590025	0.9359029471633065	1.8701213729099777	-0.6004784016842599	
ACP1	4	sp|P24666|PPAC_HUMAN;	1.0	16.676559932865604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.2730696707086673	-0.08181287517537505	2.0869671047976235	1.5675172651409603	1.88228709751521	1.609634300136694	1.0474395428050478	2.734331511663769	-0.3346882332660073	
ACTB	192	sp|P60709|ACTB_HUMAN;	1.0	23.452810152748977	0.46995431268722854	1.0647116742102858	-0.6285629852460302	-0.2796875573216573	1.0309069369841186	0.8225519268181696	0.6857297311815529	-0.15203116481137524	-0.539940672995757	-0.7626268777522949	-1.6179952314136536	-1.5930551143151774	-0.2031466205374053	0.3885977032516612	0.9595629592018966	0.49117809783391486	0.5929400352749195	-0.67613595994567	-0.8427287231096443	-1.5175916807265173	-0.45211403767325686	-0.17077875858735503	0.27023532749456436	-0.16197452735995777	0.6477292393622576	-0.024080266342624945	-0.5210391058793258	-0.15457089361956777	-1.4140810745438959	1.0399629559110668	0.3753778269114294	0.9265992850386962	0.30303076295836284	1.5041844620354174	1.464811055310193	-0.5585019187306832	
ACTC1	16	sp|P68032|ACTC_HUMAN;	0.999	22.207464036911627	0.5322733292372579	1.1885534635200843	-0.8853924680285692	-0.2504044940982544	1.1096136150162028	1.0011887729231717	0.9250999616756417	-0.0647977442062686	-0.6639437417603715	-0.8175779177995306	-1.7130226603289338	-1.821825881616375	-0.2449852153872052	0.41582850923107184	0.8541151708976091	0.45048164512451017	0.6528488990328594	-0.6529067050671884	-1.0819380543810713	-1.9893630861789289	-0.8299322216820229	-0.3485149903092877	0.15864909857388465	-0.4473677919111867	0.48852170724960464	-0.3201448708364447	-0.6908487610169249	-0.1536366525824442	-1.536362112216822	1.0089578897560267	0.4066218359275542	0.9198381308339645	0.3742877875804478	1.3640636864190752	1.3612055912304788	-0.569108929825795	
ACTG1	1	sp|P63261|ACTG_HUMAN;	1.0	14.32891466964706	0.35194956421578283	1.5397001345838772	-0.6939187215293421	0.05456870488799037	1.0113809792160176	0.7506767669901144	0.7128081539288065	-0.074677630465116	-0.35886749595906187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
ACTN4	7	sp|O43707|ACTN4_HUMAN;	0.9996	17.91193982202585	-1.6416788493337844	0.5772688191883502	0.42240444238614305	-0.2732217552886018	0.2801714149515675	-0.4289936980152014	-0.5204530034595667	-1.590869746754482	-1.7924980740623275	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02527837352547202	-0.1890675082564437	-0.0940567312383842	0.3402205874320323	0.2237930927717242	0.2596179970816963	0.041621742797413486	0.28002357292676994	-0.13243502159995657	0.39349655251161986	-0.7538917261649001	0.1689108923906879	-0.11804234394670043	-0.029864796895314072	-0.07308972606802833	1.6056144118885074	0.6823702436318344	-0.33699439687881494	
ACTR3	1	sp|P61158|ARP3_HUMAN;	0.9998	13.338625671232151	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.029792562806212786	-0.5180190127231143	0.4854753129981173	0.8714696932877852	0.2261171840630647	1.1803704125189025	0.989706790928242	NA	0.5738124746922484	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
ACYP1	5	sp|P07311|ACYP1_HUMAN;	0.9967	16.537770945460082	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.1295111446380313	-0.7964715136765563	-0.8758830263303912	-0.6266511045087353	-1.1006653439817562	-0.1788024134474453	0.22323084840052854	0.4597717398342347	-0.7858179232308595	-0.06520360636207645	-0.20051955788639475	0.018898723805510276	0.24183973570580264	-0.09128620002826704	-0.8202546237814219	1.2810894612572947	1.4846961442153788	-0.3181774507737334	NA	NA	NA	NA	NA	NA	NA	NA	NA	
ADA2	33	sp|Q9NZK5|ADA2_HUMAN;	0.9997	21.293576315002383	-0.12281171881886088	-0.35076127316238814	0.03170536436426641	0.5928081354583208	0.38131315411746236	0.3770783620118081	-0.12743256856014362	0.3624006497214385	-0.36663260741525283	-0.27025764850706047	-0.7282785092457815	0.07431281575511939	0.2555590559741012	0.17107635213395245	0.6303292342799196	0.10819856024685315	0.04679633312774456	-0.37837351703432454	-0.33865797428440647	-0.621500479657092	-0.4173866250564813	0.2997563361657303	0.037104842921587	-0.10693295907775502	-0.07285476437728322	0.07330269304940096	-0.4590670969137012	-0.46532428247700564	-0.3412679426835865	-0.3412145169528493	-0.33911614676904467	-0.30815062070058463	0.6130231638257424	-0.0681370165289179	-0.5306722296018886	-0.5704384112107634	
